Name,admitYear,creditsEarned,concDeclared,email
Rollin Nicol,2005,37,true,rnicol0@diigo.com
Cammy Mogg,2000,90,true,cmogg1@ed.gov
Flore Gleader,2000,168,false,fgleader2@constantcontact.com
Simone Kerwin,2003,54,true,skerwin3@timesonline.co.uk
Silvanus Machans,2012,1,false,smachans4@imageshack.us
Harbert Vasilchenko,2001,96,false,hvasilchenko5@hao123.com
Colan Djurisic,2011,125,false,cdjurisic6@mashable.com
Arlen Pancoast,1999,42,true,apancoast7@ucoz.com
Cathlene Renne,2000,128,true,crenne8@tmall.com
Ailsun Firbanks,2009,92,true,afirbanks9@parallels.com
Rock Shale,1999,148,false,rshalea@t-online.de
Euphemia Kingscott,2008,38,false,ekingscottb@arstechnica.com
Reinhard Frankham,1990,103,false,rfrankhamc@slate.com
Eugenio Dorrington,1970,65,true,edorringtond@smh.com.au
Kaitlyn Carrol,1987,19,true,kcarrole@pinterest.com
Cyrillus Overill,2011,139,false,coverillf@sfgate.com
Audrye Sandal,2002,22,false,asandalg@craigslist.org
Suellen Henlon,2002,94,false,shenlonh@joomla.org
Erroll Houchin,1994,13,true,ehouchini@nba.com
Devin Clawe,2010,93,false,dclawej@imdb.com
Greggory Oganian,2011,115,false,goganiank@tripod.com
Holmes Muck,2003,50,false,hmuckl@google.nl
Raquela Gabits,2007,150,false,rgabitsm@fda.gov
Sally Valett,2011,95,false,svalettn@globo.com
Lotta Bulstrode,1991,127,true,lbulstrodeo@homestead.com
Jacques Motto,2000,125,true,jmottop@unicef.org
Gene Goldspink,1993,42,false,ggoldspinkq@plala.or.jp
Kirbee Fudge,1985,118,false,kfudger@freewebs.com
Jarret Harrison,2011,84,true,jharrisons@guardian.co.uk
Sammy Petrovykh,1995,101,false,spetrovykht@buzzfeed.com
Hilario Enever,2009,83,false,heneveru@lulu.com
Conny Town,1993,106,true,ctownv@google.com.br
Garvin Heard,2009,170,false,gheardw@mediafire.com
Corinne Geator,2010,133,false,cgeatorx@ihg.com
Malinde Schuh,2004,73,true,mschuhy@moonfruit.com
Rochette Knagges,2013,69,true,rknaggesz@yellowbook.com
Jessamine Camoys,2011,68,false,jcamoys10@theatlantic.com
Karita Trehearne,1997,94,true,ktrehearne11@nih.gov
Shepherd Sargint,1991,146,false,ssargint12@icio.us
Edd Dayment,1996,171,false,edayment13@bbb.org
Dasya Oxenham,1990,17,true,doxenham14@google.it
Brion Christofides,1992,166,false,bchristofides15@chron.com
Angil Alkin,1984,78,false,aalkin16@columbia.edu
